"Title: Total Heart Disease Deaths | KFF State Health Facts"
"Timeframe: 2022"
"Location","Number of Heart Disease Deaths","Heart Disease Death Rate per 100,000"
"United States","702880","167.2"
"Alabama","14958","234.2"
"Alaska","1013","145.7"
"Arizona","14593","148.5"
"Arkansas","8664","224.1"
"California","66340","142.4"
"Colorado","8389","131.4"
"Connecticut","6899","137.8"
"Delaware","2220","156.8"
"District of Columbia","1239","182.6"
"Florida","49877","140.9"
"Georgia","21728","183.9"
"Hawaii","2862","128.4"
"Idaho","3491","156.3"
"Illinois","26781","166.6"
"Indiana","15385","185"
"Iowa","7786","176.8"
"Kansas","6440","173.2"
"Kentucky","11654","208.6"
"Louisiana","12284","224"
"Maine","3592","167.1"
"Maryland","12086","155.8"
"Massachusetts","12427","132.3"
"Michigan","27266","206.3"
"Minnesota","9175","124.1"
"Mississippi","8858","248"
"Missouri","16143","199.8"
"Montana","2539","165.9"
"Nebraska","3804","154.3"
"Nevada","7337","196.8"
"New Hampshire","2951","147.5"
"New Jersey","18707","152.8"
"New Mexico","4369","156.8"
"New York","43237","159.2"
"North Carolina","21763","165.8"
"North Dakota","1538","155"
"Ohio","30041","193.9"
"Oklahoma","12268","257.1"
"Oregon","8152","145.4"
"Pennsylvania","32522","173.4"
"Rhode Island","2369","152.6"
"South Carolina","12038","177.7"
"South Dakota","1850","158.2"
"Tennessee","18727","218.3"
"Texas","50672","172.3"
"Utah","4460","159.4"
"Vermont","1589","165.1"
"Virginia","16902","159.2"
"Washington","13218","142.7"
"West Virginia","5399","209.5"
"Wisconsin","13128","166.6"
"Wyoming","1150","157.1"

"Notes"
"These figures are age-adjusted to the total U.S. population in 2000. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to heart disease mortality include ICD-10 Codes I00-I02;I05-I09; I11.0;I11.9;I13.0-I13.2;I13.9;I20-I28;I30-I51."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2024 on [CDC WONDER Online Database](http://wonder.cdc.gov/). Data are from the Multiple Cause of Death Files, 1999-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at [https://wonder.cdc.gov/ucd-icd10-expanded.html](https://wonder.cdc.gov/ucd-icd10-expanded.html) on February 18, 2026."


