"Title: Adults Who Report Participation in Any Physical Activity or Exercise by Sex | KFF State Health Facts"
"Timeframe: 2024"
"Location","All Adults","Male","Female",Footnotes
"United States","0.775","0.802","0.749","1"
"Alabama","0.724","0.780","0.672"
"Alaska","0.819","0.835","0.800"
"Arizona","0.782","0.819","0.745"
"Arkansas","0.715","0.756","0.675"
"California","0.793","0.820","0.766"
"Colorado","0.844","0.859","0.829"
"Connecticut","0.792","0.827","0.760"
"Delaware","0.748","0.768","0.730"
"District of Columbia","0.861","0.892","0.836"
"Florida","0.750","0.775","0.727"
"Georgia","0.770","0.804","0.738"
"Hawaii","0.787","0.809","0.765"
"Idaho","0.793","0.815","0.771"
"Illinois","0.767","0.795","0.739"
"Indiana","0.754","0.781","0.729"
"Iowa","0.782","0.801","0.763"
"Kansas","0.776","0.794","0.757"
"Kentucky","0.720","0.748","0.694"
"Louisiana","0.724","0.758","0.692"
"Maine","0.786","0.797","0.777"
"Maryland","0.805","0.836","0.776"
"Massachusetts","0.812","0.842","0.783"
"Michigan","0.780","0.802","0.760"
"Minnesota","0.825","0.833","0.817"
"Mississippi","0.694","0.743","0.648"
"Missouri","0.754","0.771","0.737"
"Montana","0.809","0.821","0.796"
"Nebraska","0.784","0.797","0.771"
"Nevada","0.768","0.804","0.731"
"New Hampshire","0.814","0.826","0.803"
"New Jersey","0.772","0.808","0.738"
"New Mexico","0.783","0.814","0.753"
"New York","0.760","0.787","0.735"
"North Carolina","0.798","0.824","0.773"
"North Dakota","0.783","0.809","0.756"
"Ohio","0.778","0.804","0.752"
"Oklahoma","0.723","0.752","0.696"
"Oregon","0.810","0.827","0.793"
"Pennsylvania","0.773","0.789","0.758"
"Rhode Island","0.771","0.804","0.739"
"South Carolina","0.783","0.813","0.754"
"South Dakota","0.786","0.784","0.788"
"Tennessee","N/A","N/A","N/A"
"Texas","0.749","0.784","0.715"
"Utah","0.832","0.847","0.818"
"Vermont","0.840","0.857","0.824"
"Virginia","0.781","0.803","0.760"
"Washington","0.826","0.845","0.807"
"West Virginia","0.713","0.754","0.673"
"Wisconsin","0.783","0.802","0.764"
"Wyoming","0.790","0.802","0.778"
"Guam","0.698","0.728","0.668"
"Puerto Rico","0.572","0.641","0.512"
"U.S. Virgin Islands","0.796","0.852","0.744"

"Notes"
"Data represent adults who reported that they participate in any physical activities or exercise during the past month."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.htm)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2024 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*NSD*: Estimates are not provided if the relative standard error exceeds 30% or if the denominator is based on fewer than 50 respondents in the unweighted sample. "
""
"*N/A*: Data not available. US Virgin Islands is only included in BRFSS in 2016, 2023, and 2024. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set. Florida was unable to collect BRFSS data over enough months to meet the minimum requirements for inclusion in 2021, and Kentucky and Pennsylvania did not meet minimum requirements for inclusion in 2023. Tennessee was unable to collect enough data to meet the minimum requirements for inclusion in 2024."


Footnotes
"1. US totals exclude data from the territories."
