"Title: Distribution of Uninsured People Ages 0-64 by Age | KFF State Health Facts"
"Timeframe: 2024"
"Location","Children 0-18","Adults 19-64","Total",Footnotes
"United States","0.168","0.832","1.000","1"
"Alabama","0.112","0.888","1.000"
"Alaska","0.236","0.764","1.000"
"Arizona","0.204","0.796","1.000"
"Arkansas","0.179","0.821","1.000"
"California","0.120","0.880","1.000"
"Colorado","0.178","0.822","1.000"
"Connecticut","0.089","0.911","1.000"
"Delaware","0.207","0.793","1.000"
"District of Columbia","0.125","0.875","1.000"
"Florida","0.160","0.840","1.000"
"Georgia","0.162","0.838","1.000"
"Hawaii","0.179","0.821","1.000"
"Idaho","0.224","0.776","1.000"
"Illinois","0.114","0.886","1.000"
"Indiana","0.206","0.794","1.000"
"Iowa","0.166","0.834","1.000"
"Kansas","0.203","0.797","1.000"
"Kentucky","0.171","0.829","1.000"
"Louisiana","0.126","0.874","1.000"
"Maine","0.159","0.841","1.000"
"Maryland","0.159","0.841","1.000"
"Massachusetts","0.153","0.847","1.000"
"Michigan","0.143","0.857","1.000"
"Minnesota","0.174","0.826","1.000"
"Mississippi","0.150","0.850","1.000"
"Missouri","0.199","0.801","1.000"
"Montana","0.187","0.813","1.000"
"Nebraska","0.184","0.816","1.000"
"Nevada","0.167","0.833","1.000"
"New Hampshire","0.108","0.892","1.000"
"New Jersey","0.138","0.862","1.000"
"New Mexico","0.140","0.860","1.000"
"New York","0.111","0.889","1.000"
"North Carolina","0.145","0.855","1.000"
"North Dakota","0.220","0.780","1.000"
"Ohio","0.181","0.819","1.000"
"Oklahoma","0.190","0.810","1.000"
"Oregon","0.102","0.898","1.000"
"Pennsylvania","0.211","0.789","1.000"
"Rhode Island","0.162","0.838","1.000"
"South Carolina","0.149","0.851","1.000"
"South Dakota","0.203","0.797","1.000"
"Tennessee","0.154","0.846","1.000"
"Texas","0.216","0.784","1.000"
"Utah","0.228","0.772","1.000"
"Vermont","N/A","0.890","1.000"
"Virginia","0.174","0.826","1.000"
"Washington","0.133","0.867","1.000"
"West Virginia","0.100","0.900","1.000"
"Wisconsin","0.170","0.830","1.000"
"Wyoming","0.175","0.825","1.000"
"Puerto Rico","0.075","0.925","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic.  "
""
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates."
""
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type."
""
"Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
